batch,dot,zdot,div
456,1.245523134,0.6350962276,2.504946567
457,3.448361469,1.297775521,2.156268928
458,2.814338833,3.971568386,1.92091871
459,1.987899583,0.9535389688,3.152289778
460,3.172956362,1.748110403,1.285319891
461,2.570581347,1.795455026,1.626840136
462,2.262577427,0.5525863319,2.461734938
463,2.104408011,3.736607335,0.8314851126
464,2.796011764,3.270283026,1.143517754
465,0.6650491646,3.340295467,2.578922123
466,1.6813715,0.9591307011,2.061600271
467,2.847467144,0.5307966415,3.508028802
468,3.665643177,2.543729177,1.504344821
469,1.22056559,0.9034334551,-0.06583249531
470,3.361902908,3.545901201,1.367746768
471,0.57419405,0.364622147,3.157461304
472,2.352302197,2.065480315,2.411143
473,3.319424278,0.3963879691,2.922537315
474,3.177034163,3.211397227,1.147157644
475,2.948496123,2.755833526,2.10700274
476,3.065734412,1.613031893,1.39675897
477,3.529233245,0.6486656425,2.502823665
478,0.0727635983,0.8786128182,1.93978785
479,0.5245294231,1.09691107,1.484933307
480,-0.9153702721,0.1858758144,2.95270556
481,1.098322005,0.4608607279,2.595387148
482,1.661472907,0.6973103266,1.852663513
483,2.432919687,1.277700162,-0.03222192848
484,2.006742656,1.828771446,2.706681186
485,4.608407991,1.760838793,0.873273209
486,0.4223102744,1.178492509,1.417660661
487,2.040330634,0.2474129675,1.478562384
488,0.6167249348,2.448528431,1.202277397
489,1.359093573,3.507007472,1.236073473
490,2.589783461,3.202180647,0.8846150846
491,2.326571481,2.686821491,2.072921132
492,0.4187385892,2.82700988,1.643002143
493,2.374717048,2.554996738,1.931798221
494,1.360005575,0.6739761516,1.064342268
495,2.529230987,0.3481698329,1.733431645
496,1.532282285,3.440598723,1.817933455
497,1.701664974,1.748987365,0.7758958675
498,0.6240564632,1.138092924,2.76311877
499,1.293994993,2.874956747,1.228491435
500,2.856948072,1.818767836,1.240937757
501,1.443276091,0.7299564028,2.307392184
502,1.030692001,1.266909888,2.971719709
503,1.953954655,1.951273082,1.902010316
504,0.4580181536,0.5720669906,2.22373358
505,1.937208941,0.6235310179,0.85099318
506,1.633167887,2.922529733,1.631031107
507,-0.09436458702,0.009638231584,2.235687594
